Body Regions|A01
Pilocarpus|B01.875.800.575.912.250.875.733
Poncirus|B01.875.800.575.912.250.875.755
Ruta|B01.875.800.575.912.250.875.788
Zanthoxylum|B01.875.800.575.912.250.875.922
Salvadoraceae|B01.875.800.575.912.250.882
Santalaceae|B01.875.800.575.912.250.884
Phoradendron|B01.875.800.575.912.250.884.333
Pyrularia|B01.875.800.575.912.250.884.666
Santalum|B01.875.800.575.912.250.884.833
Viscum|B01.875.800.575.912.250.884.916
Viscum album|B01.875.800.575.912.250.884.916.500
Sapindaceae|B01.875.800.575.912.250.885
Acer|B01.875.800.575.912.250.885.056
Blighia|B01.875.800.575.912.250.885.111
Hippocastanaceae|B01.875.800.575.912.250.885.278
Aesculus|B01.875.800.575.912.250.885.278.500
Litchi|B01.875.800.575.912.250.885.444
Paullinia|B01.875.800.575.912.250.885.722
Sapindus|B01.875.800.575.912.250.885.861
Saururaceae|B01.875.800.575.912.250.888
Houttuynia|B01.875.800.575.912.250.888.500
Saxifragales|B01.875.800.575.912.250.890
Daphniphyllaceae|B01.875.800.575.912.250.890.500
Daphniphyllum|B01.875.800.575.912.250.890.500.500
Simaroubaceae|B01.875.800.575.912.250.898
Ailanthus|B01.875.800.575.912.250.898.044
Brucea|B01.875.800.575.912.250.898.111
Brucea javanica|B01.875.800.575.912.250.898.111.500
Eurycoma|B01.875.800.575.912.250.898.333
Picrasma|B01.875.800.575.912.250.898.555
Quassia|B01.875.800.575.912.250.898.599
Simarouba|B01.875.800.575.912.250.898.799
Solanales|B01.875.800.575.912.250.908
Solanaceae|B01.875.800.575.912.250.908.500
Atropa|B01.875.800.575.912.250.908.500.049
Atropa belladonna|B01.875.800.575.912.250.908.500.049.222
Brugmansia|B01.875.800.575.912.250.908.500.097
Capsicum|B01.875.800.575.912.250.908.500.145
Cestrum|B01.875.800.575.912.250.908.500.166
Datura|B01.875.800.575.912.250.908.500.188
Datura metel|B01.875.800.575.912.250.908.500.188.550
Datura stramonium|B01.875.800.575.912.250.908.500.188.800
Duboisia|B01.875.800.575.912.250.908.500.202
Hyoscyamus|B01.875.800.575.912.250.908.500.274
Lycium|B01.875.800.575.912.250.908.500.310
Mandragora|B01.875.800.575.912.250.908.500.347
Petunia|B01.875.800.575.912.250.908.500.448
Physalis|B01.875.800.575.912.250.908.500.499
Scopolia|B01.875.800.575.912.250.908.500.612
Solanum|B01.875.800.575.912.250.908.500.725
Solanum glaucophyllum|B01.875.800.575.912.250.908.500.725.610
Solanum lycopersicum|B01.875.800.575.912.250.908.500.725.638
Solanum melongena|B01.875.800.575.912.250.908.500.725.666
Solanum nigrum|B01.875.800.575.912.250.908.500.725.699
Solanum tuberosum|B01.875.800.575.912.250.908.500.725.777
Nicotiana|B01.875.800.575.912.250.908.500.900
Withania|B01.875.800.575.912.250.908.500.950
Stemonaceae|B01.875.800.575.912.250.910
Thymelaeaceae|B01.875.800.575.912.250.932
Daphne|B01.875.800.575.912.250.932.500
Wikstroemia|B01.875.800.575.912.250.932.909
Tiliaceae|B01.875.800.575.912.250.938
Tropaeolaceae|B01.875.800.575.912.250.942
Tropaeolum|B01.875.800.575.912.250.942.500
Typhaceae|B01.875.800.575.912.250.948
Vitaceae|B01.875.800.575.912.250.965
Ampelopsis|B01.875.800.575.912.250.965.044
Cissus|B01.875.800.575.912.250.965.272
Vitis|B01.875.800.575.912.250.965.500
Winteraceae|B01.875.800.575.912.250.970
Drimys|B01.875.800.575.912.250.970.199
Pseudowintera|B01.875.800.575.912.250.970.599
Zygophyllaceae|B01.875.800.575.912.250.987
Balanites|B01.875.800.575.912.250.987.088
Guaiacum|B01.875.800.575.912.250.987.277
Larrea|B01.875.800.575.912.250.987.399
Peganum|B01.875.800.575.912.250.987.699
Tribulus|B01.875.800.575.912.250.987.849
Zygophyllum|B01.875.800.575.912.250.987.924
Pinales|B01.875.800.575.912.625
Araucariaceae|B01.875.800.575.912.625.500
Araucaria|B01.875.800.575.912.625.500.500
Araucaria araucana|B01.875.800.575.912.625.500.500.250
Cupressaceae|B01.875.800.575.912.625.750
Chamaecyparis|B01.875.800.575.912.625.750.199
Cryptomeria|B01.875.800.575.912.625.750.233
Cunninghamia|B01.875.800.575.912.625.750.250
Cupressus|B01.875.800.575.912.625.750.266
Juniperus|B01.875.800.575.912.625.750.500
Libocedrus|B01.875.800.575.912.625.750.599
Sequoia|B01.875.800.575.912.625.750.699
Sequoiadendron|B01.875.800.575.912.625.750.749
Taxodium|B01.875.800.575.912.625.750.774
Thuja|B01.875.800.575.912.625.750.799
Pinaceae|B01.875.800.575.912.625.875
Abies|B01.875.800.575.912.625.875.033
Cedrus|B01.875.800.575.912.625.875.222
Larix|B01.875.800.575.912.625.875.444
Picea|B01.875.800.575.912.625.875.755
Pinus|B01.875.800.575.912.625.875.777
Pinus ponderosa|B01.875.800.575.912.625.875.777.600
Pinus sylvestris|B01.875.800.575.912.625.875.777.744
Pinus taeda|B01.875.800.575.912.625.875.777.888
Pseudotsuga|B01.875.800.575.912.625.875.984
Tsuga|B01.875.800.575.912.625.875.992
Taxaceae|B01.875.800.575.912.625.937
Cephalotaxus|B01.875.800.575.912.625.937.250
Taxus|B01.875.800.575.912.625.937.500
Archaea|B02
Crenarchaeota|B02.075
Desulfurococcales|B02.075.200
Desulfurococcaceae|B02.075.200.500
Aeropyrum|B02.075.200.500.050
Pyrodictiaceae|B02.075.200.650
Sulfolobales|B02.075.725
Sulfolobaceae|B02.075.725.725
Acidianus|B02.075.725.725.030
Sulfolobus|B02.075.725.725.725
Sulfolobus acidocaldarius|B02.075.725.725.725.070
Sulfolobus solfataricus|B02.075.725.725.725.800
Thermoproteales|B02.075.800
Thermofilaceae|B02.075.800.780
Thermoproteaceae|B02.075.800.800
Pyrobaculum|B02.075.800.800.650
Thermoproteus|B02.075.800.800.800
Euryarchaeota|B02.200
Archaeoglobales|B02.200.080
Archaeoglobus|B02.200.080.080
Archaeoglobus fulgidus|B02.200.080.080.100
Halobacteriales|B02.200.400
Halobacteriaceae|B02.200.400.400
Haloarcula|B02.200.400.400.400
Haloarcula marismortui|B02.200.400.400.400.410
Halobacterium|B02.200.400.400.410
Halobacterium salinarum|B02.200.400.400.410.450
Halococcus|B02.200.400.400.420
Haloferax|B02.200.400.400.440
Haloferax mediterranei|B02.200.400.400.440.500
Haloferax volcanii|B02.200.400.400.440.900
Halorubrum|B02.200.400.400.445
Natronobacterium|B02.200.400.400.550
Natronococcus|B02.200.400.400.560
Methanobacteriales|B02.200.492
Methanobacteriaceae|B02.200.492.500
Methanobacterium|B02.200.492.500.500
Methanobrevibacter|B02.200.492.500.515
Methanococcales|B02.200.538
Methanocaldococcaceae|B02.200.538.262
Methanocaldococcus|B02.200.538.262.500
Methanococcaceae|B02.200.538.525
Methanococcus|B02.200.538.525.500
Methanomicrobiales|B02.200.705
Methanomicrobiaceae|B02.200.705.500
Methanospirillum|B02.200.705.750
Methanosarcinales|B02.200.765
Methanosarcinaceae|B02.200.765.550
Methanosarcina|B02.200.765.550.550
Methanosarcina barkeri|B02.200.765.550.550.200
Thermococcales|B02.200.825
Thermococcaceae|B02.200.825.800
Pyrococcus|B02.200.825.800.650
Pyrococcus abyssi|B02.200.825.800.650.020
Pyrococcus furiosus|B02.200.825.800.650.300
Pyrococcus horikoshii|B02.200.825.800.650.400
Thermococcus|B02.200.825.800.800
Thermoplasmales|B02.200.850
Thermoplasma|B02.200.850.800
Korarchaeota|B02.500
Nanoarchaeota|B02.600
Bacteria|B03
Acidobacteria|B03.026,B03.440.400.050
Atypical Bacterial Forms|B03.110,B05.110
L Forms|B03.110.422,B05.110.422
Bacteria, Aerobic|B03.120
Bacteria, Anaerobic|B03.130
Bacteria, Thermoduric|B03.135
Chlorobi|B03.250
Chlorobium|B03.250.140,B03.440.425.410.275
Chloroflexi|B03.275
Chloroflexus|B03.275.150,B03.440.210
Dehalococcoides|B03.275.575
Cyanobacteria|B03.280,B03.440.475.100
Anabaena|B03.280.100,B03.440.475.100.100,B03.585.051
Anabaena cylindrica|B03.280.100.150,B03.440.475.100.100.150,B03.585.051.150
Anabaena variabilis|B03.280.100.900,B03.440.475.100.100.900,B03.585.051.900
Aphanizomenon|B03.280.110,B03.440.475.100.110
Cyanothece|B03.280.200,B03.440.475.100.200
Cylindrospermopsis|B03.280.210,B03.440.475.100.210
Dolichospermum flos-aquae|B03.280.283,B03.440.475.100.283
Lyngbya|B03.280.355,B03.440.475.100.355
Microcystis|B03.280.500,B03.440.475.100.500
Nodularia|B03.280.550,B03.440.475.100.550,B03.585.625
Nostoc|B03.280.575,B03.440.475.100.575
Nostoc commune|B03.280.575.150,B03.440.475.100.575.150,B03.585.750
Nostoc muscorum|B03.280.575.500,B03.440.475.100.575.500,B03.585.760
Oscillatoria|B03.280.612,B03.440.475.100.612
Pannus|B03.280.622,B03.440.475.100.622
Phormidium|B03.280.631,B03.440.475.100.631
Planktothrix|B03.280.641,B03.440.475.100.641
Plectonema|B03.280.650,B03.440.475.100.650,B03.585.880
Spirulina|B03.280.697
Synechococcus|B03.280.745,B03.440.475.100.745
Synechocystis|B03.280.750,B03.440.475.100.750
Thermosynechococcus|B03.280.813,B03.440.475.100.813
Trichodesmium|B03.280.875,B03.440.475.100.875,B03.585.950
Endospore-Forming Bacteria|B03.300
Gram-Positive Endospore-Forming Bacteria|B03.300.390,B03.510.415
Gram-Positive Endospore-Forming Rods|B03.300.390.400,B03.510.415.400,B03.510.460.410
Bacillaceae|B03.300.390.400.158,B03.353.500.100,B03.510.100.100,B03.510.415.400.158,B03.510.460.410.158
Anoxybacillus|B03.300.390.400.158.108,B03.353.500.100.108,B03.510.100.100.108,B03.510.415.400.158.108,B03.510.460.410.158.108
Bacillus|B03.300.390.400.158.218,B03.353.500.100.218,B03.510.100.100.218,B03.510.415.400.158.218,B03.510.460.410.158.218
Bacillus amyloliquefaciens|B03.300.390.400.158.218.076,B03.353.500.100.218.076,B03.510.100.100.218.076,B03.510.415.400.158.218.076,B03.510.460.410.158.218.076
Bacillus anthracis|B03.300.390.400.158.218.151,B03.353.500.100.218.151,B03.510.100.100.218.151,B03.510.415.400.158.218.151,B03.510.460.410.158.218.151
Bacillus cereus|B03.300.390.400.158.218.252,B03.353.500.100.218.252,B03.510.100.100.218.252,B03.510.415.400.158.218.252,B03.510.460.410.158.218.252
Bacillus clausii|B03.300.390.400.158.218.283,B03.353.500.100.218.283,B03.510.100.100.218.283,B03.510.415.400.158.218.283,B03.510.460.410.158.218.283
Bacillus coagulans|B03.300.390.400.158.218.314,B03.353.500.100.218.314,B03.510.100.100.218.314,B03.510.415.400.158.218.314,B03.510.460.410.158.218.314
Bacillus firmus|B03.300.390.400.158.218.345,B03.353.500.100.218.345,B03.510.100.100.218.345,B03.510.415.400.158.218.345,B03.510.460.410.158.218.345
Bacillus licheniformis|B03.300.390.400.158.218.376,B03.353.500.100.218.376,B03.510.100.100.218.376,B03.510.415.400.158.218.376,B03.510.460.410.158.218.376
Bacillus megaterium|B03.300.390.400.158.218.500,B03.353.500.100.218.500,B03.510.100.100.218.500,B03.510.415.400.158.218.500,B03.510.460.410.158.218.500
Bacillus pumilus|B03.300.390.400.158.218.613,B03.353.500.100.218.613,B03.510.100.100.218.613,B03.510.415.400.158.218.613,B03.510.460.410.158.218.613
Bacillus subtilis|B03.300.390.400.158.218.725,B03.353.500.100.218.725,B03.510.100.100.218.725,B03.510.415.400.158.218.725,B03.510.460.410.158.218.725
Bacillus thuringiensis|B03.300.390.400.158.218.800,B03.353.500.100.218.800,B03.510.100.100.218.800,B03.510.415.400.158.218.800,B03.510.460.410.158.218.800
Geobacillus|B03.300.390.400.158.400,B03.353.500.100.400,B03.510.100.100.400,B03.510.415.400.158.400,B03.510.460.410.158.400
Geobacillus stearothermophilus|B03.300.390.400.158.400.400,B03.353.500.100.400.400,B03.510.100.100.400.400,B03.510.415.400.158.400.400,B03.510.460.410.158.400.400
Halobacillus|B03.300.390.400.158.600,B03.353.500.100.425,B03.510.100.100.425,B03.510.415.400.158.425,B03.510.460.410.158.425
Virgibacillus|B03.300.390.400.158.900,B03.510.415.400.158.900,B03.510.460.410.158.900
Brevibacillus|B03.300.390.400.160,B03.353.500.117,B03.510.100.117,B03.510.415.400.179,B03.510.460.410.165
Clostridium|B03.300.390.400.200,B03.353.625.375.500,B03.510.415.400.200
Clostridium acetobutylicum|B03.300.390.400.200.025,B03.353.625.375.500.025,B03.510.415.400.200.025
Clostridium beijerinckii|B03.300.390.400.200.100,B03.353.625.375.500.100,B03.510.415.400.200.100
Clostridium bifermentans|B03.300.390.400.200.130,B03.353.625.375.500.130,B03.510.415.400.200.130
Clostridium botulinum|B03.300.390.400.200.160,B03.353.625.375.500.160,B03.510.415.400.200.160
Clostridium botulinum type A|B03.300.390.400.200.160.050,B03.353.625.375.500.160.050,B03.510.415.400.200.160.050
Clostridium botulinum type B|B03.300.390.400.200.160.100,B03.353.625.375.500.160.100,B03.510.415.400.200.160.100
Clostridium botulinum type C|B03.300.390.400.200.160.150,B03.353.625.375.500.160.150,B03.510.415.400.200.160.150
Clostridium botulinum type D|B03.300.390.400.200.160.200,B03.353.625.375.500.160.200,B03.510.415.400.200.160.200
Clostridium botulinum type E|B03.300.390.400.200.160.250,B03.353.625.375.500.160.250,B03.510.415.400.200.160.250
Clostridium botulinum type F|B03.300.390.400.200.160.300,B03.353.625.375.500.160.300,B03.510.415.400.200.160.300
Clostridium botulinum type G|B03.300.390.400.200.160.350,B03.353.625.375.500.160.350,B03.510.415.400.200.160.350
Clostridium butyricum|B03.300.390.400.200.180,B03.353.625.375.500.180,B03.510.415.400.200.180
Clostridium cellulolyticum|B03.300.390.400.200.200,B03.353.625.375.500.200,B03.510.415.400.200.200
Clostridium cellulovorans|B03.300.390.400.200.205,B03.353.625.375.500.205,B03.510.415.400.200.205
Clostridium chauvoei|B03.300.390.400.200.215,B03.353.625.375.500.215,B03.510.415.400.200.215
Clostridium histolyticum|B03.300.390.400.200.412,B03.353.625.375.500.412,B03.510.415.400.200.412
Clostridium kluyveri|B03.300.390.400.200.493,B03.353.625.375.500.493,B03.510.415.400.200.493
Clostridium perfringens|B03.300.390.400.200.575,B03.353.625.375.500.575,B03.510.415.400.200.575
Clostridium septicum|B03.300.390.400.200.690,B03.353.625.375.500.690,B03.510.415.400.200.690
Clostridium sordellii|B03.300.390.400.200.700,B03.353.625.375.500.700,B03.510.415.400.200.700
Clostridium sticklandii|B03.300.390.400.200.710,B03.353.625.375.500.710,B03.510.415.400.200.710
Clostridium symbiosum|B03.300.390.400.200.713,B03.353.625.375.500.713,B03.510.415.400.200.713
Clostridium tertium|B03.300.390.400.200.722,B03.353.625.375.500.722,B03.510.415.400.200.722
Clostridium tetani|B03.300.390.400.200.725,B03.353.625.375.500.725,B03.510.415.400.200.725
Clostridium tetanomorphum|B03.300.390.400.200.740,B03.353.625.375.500.740,B03.510.415.400.200.740
Clostridium thermocellum|B03.300.390.400.200.770,B03.353.625.375.500.770,B03.510.415.400.200.770
Clostridium tyrobutyricum|B03.300.390.400.200.800,B03.353.625.375.500.800,B03.510.415.400.200.800
Micromonosporaceae|B03.300.390.400.500,B03.510.024.925,B03.510.415.400.500,B03.510.460.410.500
Actinoplanes|B03.300.390.400.500.250,B03.510.024.925.250,B03.510.415.400.500.250,B03.510.460.410.500.250
Micromonospora|B03.300.390.400.500.500,B03.510.024.925.500,B03.510.415.400.500.500,B03.510.460.410.500.500
Moorella|B03.300.390.400.525,B03.353.875,B03.510.415.400.525,B03.510.460.410.525
Paenibacillus|B03.300.390.400.645,B03.353.500.645,B03.510.100.645,B03.510.415.400.645,B03.510.460.410.645
Paenibacillus larvae|B03.300.390.400.645.500,B03.353.500.645.500,B03.510.100.645.500,B03.510.415.400.645.500,B03.510.460.410.645.500
Paenibacillus polymyxa|B03.300.390.400.645.750,B03.353.500.645.750,B03.510.100.645.750,B03.510.415.400.645.750,B03.510.460.410.645.750,B03.585.860
Saccharopolyspora|B03.300.390.400.790,B03.510.024.995,B03.510.415.400.790,B03.510.460.410.790
Staphylococcaceae|B03.300.390.400.800,B03.353.500.750,B03.510.100.750,B03.510.400.790
Staphylococcus|B03.300.390.400.800.750,B03.353.500.750.750,B03.510.100.750.750,B03.510.400.790.750
Staphylococcus aureus|B03.300.390.400.800.750.100,B03.353.500.750.750.100,B03.510.100.750.750.100,B03.510.400.790.750.100
Methicillin-Resistant Staphylococcus aureus|B03.300.390.400.800.750.100.500,B03.353.500.750.750.100.500,B03.510.100.750.750.100.500,B03.510.400.790.750.100.500
Vancomycin-Resistant Staphylococcus aureus|B03.300.390.400.800.750.100.750,B03.353.500.750.750.100.750,B03.510.100.750.750.100.750,B03.510.400.790.750.100.750
Staphylococcus capitis|B03.300.390.400.800.750.222,B03.353.500.750.750.222,B03.510.100.750.750.222,B03.510.400.790.750.222
Staphylococcus epidermidis|B03.300.390.400.800.750.343,B03.353.500.750.750.343,B03.510.100.750.750.343,B03.510.400.790.750.343
Staphylococcus haemolyticus|B03.300.390.400.800.750.400,B03.353.500.750.750.400,B03.510.100.750.750.400,B03.510.400.790.750.400
Staphylococcus hominis|B03.300.390.400.800.750.425,B03.353.500.750.750.425,B03.510.100.750.750.425,B03.510.400.790.750.425
Staphylococcus hyicus|B03.300.390.400.800.750.435,B03.353.500.750.750.435,B03.510.100.750.750.435,B03.510.400.790.750.435
Staphylococcus intermedius|B03.300.390.400.800.750.445,B03.353.500.750.750.445,B03.510.100.750.750.445,B03.510.400.790.750.445
Staphylococcus lugdunensis|B03.300.390.400.800.750.500,B03.353.500.750.750.500,B03.510.100.750.750.500,B03.510.400.790.750.500
Staphylococcus saprophyticus|B03.300.390.400.800.750.750,B03.353.500.750.750.750,B03.510.100.750.750.750,B03.510.400.790.750.750
Streptomycetaceae|B03.300.390.400.810,B03.510.024.997,B03.510.415.400.810,B03.510.460.410.810
Streptomyces|B03.300.390.400.810.768,B03.510.024.997.775,B03.510.415.400.810.768,B03.510.460.410.810.768
Streptomyces antibioticus|B03.300.390.400.810.768.100,B03.510.024.997.775.100,B03.510.415.400.810.768.100,B03.510.460.410.810.768.100
Streptomyces aureofaciens|B03.300.390.400.810.768.125,B03.510.024.997.775.125,B03.510.415.400.810.768.125,B03.510.460.410.810.768.125
Streptomyces coelicolor|B03.300.390.400.810.768.200,B03.510.024.997.775.200,B03.510.415.400.810.768.200,B03.510.460.410.810.768.200
Streptomyces griseus|B03.300.390.400.810.768.375,B03.510.024.997.775.375,B03.510.415.400.810.768.375,B03.510.460.410.810.768.375
Streptomyces lividans|B03.300.390.400.810.768.500,B03.510.024.997.775.500,B03.510.415.400.810.768.500,B03.510.460.410.810.768.500
Streptomyces rimosus|B03.300.390.400.810.768.750,B03.510.024.997.775.750,B03.510.415.400.810.768.750,B03.510.460.410.810.768.750
Pasteuria|B03.300.390.650,B03.353.500.650,B03.510.100.650,B03.510.415.650
Sporosarcina|B03.300.390.825,B03.353.500.700.700,B03.510.100.100.600.700,B03.510.400.630.700,B03.510.415.700
Firmicutes|B03.353
Acidaminococcus|B03.353.250,B03.440.425.410.073
Bacillales|B03.353.500,B03.510.100
Alicyclobacillus|B03.353.500.050,B03.510.100.050,B03.510.415.400.078
Exiguobacterium|B03.353.500.100.309
Brochothrix|B03.353.500.120,B03.510.100.120,B03.510.460.400.410.120
Gemella|B03.353.500.310,B03.510.100.310
Listeria|B03.353.500.500,B03.510.100.500,B03.510.460.400.410.485
Listeria monocytogenes|B03.353.500.500.500,B03.510.100.500.500,B03.510.460.400.410.485.500
Planococcaceae|B03.353.500.700,B03.510.100.100.600,B03.510.400.630
Thermoactinomyces|B03.353.500.875,B03.510.100.800
Caldicellulosiruptor|B03.353.563
Clostridiales|B03.353.625
Butyrivibrio|B03.353.625.250
Butyrivibrio fibrisolvens|B03.353.625.250.500
Clostridiaceae|B03.353.625.375
Sarcina|B03.353.625.375.750,B03.510.400.750
Clostridioides|B03.353.625.657
Clostridioides difficile|B03.353.625.657.500
Eubacterium|B03.353.625.750,B03.510.460.400.400.250
Faecalibacterium|B03.353.625.766,B03.440.425.410.413
Faecalibacterium prausnitzii|B03.353.625.766.500,B03.440.425.410.413.500
Neglecta|B03.353.625.774
Peptococcaceae|B03.353.625.782,B03.510.400.562
Desulfitobacterium|B03.353.625.782.149,B03.900.174
Desulfotomaculum|B03.353.625.782.297,B03.510.415.400.230,B03.900.300
Peptococcus|B03.353.625.782.593,B03.510.400.562.593
Peptostreptococcus|B03.353.625.798,B03.510.400.625
Ruminococcus|B03.353.625.806,B03.510.400.687
Erysipelothrix|B03.353.688,B03.510.460.400.410.350
Lactobacillales|B03.353.750,B03.510.550
Aerococcaceae|B03.353.750.030,B03.510.550.030
Abiotrophia|B03.353.750.030.014,B03.510.550.030.014
Aerococcus|B03.353.750.030.030,B03.510.400.030,B03.510.550.030.030
Carnobacteriaceae|B03.353.750.130,B03.510.550.130
Carnobacterium|B03.353.750.130.150,B03.510.550.130.150
Enterococcaceae|B03.353.750.250,B03.510.550.250
Enterococcus|B03.353.750.250.250,B03.510.550.250.250
Enterococcus faecalis|B03.353.750.250.250.280,B03.510.550.250.250.280
Enterococcus faecium|B03.353.750.250.250.300,B03.510.550.250.250.300
Enterococcus hirae|B03.353.750.250.250.475,B03.510.550.250.250.475
Vancomycin-Resistant Enterococci|B03.353.750.250.250.650,B03.510.550.250.250.650
Lactobacillaceae|B03.353.750.450,B03.510.460.400.410.475,B03.510.550.450
